Information_Score,Phrase,Newspaper
9.174325893120106e-05,basketball,"California State Polytechnic University, Humboldt"
4.742382478643813e-05,basketball,Morehouse College
-1.2094019399931202e-05,colleges and universities,"California Polytechnic State University, SLO"
9.887557870654439e-05,colleges and universities,University of Utah
4.197458827867089e-06,colleges and universities,Pennsylvania State University
4.996061331431969e-05,colleges and universities,Georgetown University
9.164040759086398e-07,colleges and universities,Eastern Illinois University
2.989165888437779e-05,colleges and universities,University of Illinois Urbana Champaign
1.1218484231440529e-05,colleges and universities,Purdue University
3.5000930048420775e-05,colleges and universities,St. Edward's University
2.4241402212959513e-05,colleges and universities,Virginia Commonwealth University
2.253073544627384e-05,colleges and universities,Columbia College Chicago
-3.983974207306745e-06,colleges and universities,University of Washington
3.5000930048420775e-05,colleges and universities,Occidental College
4.028068649522056e-05,colleges and universities,University of Massachusetts Amherst
3.482836237984338e-05,colleges and universities,University of Pittsburgh
3.6710358935772664e-05,colleges and universities,Ithaca College
3.293215110207415e-05,colleges and universities,Texas A & M University
0.00017724343823067877,colleges and universities,Quinnipiac University
5.076443446989516e-05,colleges and universities,Marshall University
5.489364370351189e-05,colleges and universities,University of Oregon
5.0939081471810866e-05,colleges and universities,Grand Valley State University
4.353046052084749e-05,colleges and universities,Grinnell College
2.6150641743255367e-05,colleges and universities,"University of Nebraska, Omaha"
0.00019527140415982823,colleges and universities,University of Mary Washington
1.640190632597832e-05,colleges and universities,Virginia Polytechnic Institute
0.00024263002854566784,colleges and universities,Allegheny College
2.288294883927154e-05,colleges and universities,Swarthmore College
0.00010687834209699287,colleges and universities,Colgate University
4.845122704520034e-05,colleges and universities,Bucknell University
6.722903203345808e-05,colleges and universities,Indiana University of Pennsylvania
5.908114607689292e-05,colleges and universities,Clemson University
5.059112577232982e-05,colleges and universities,Wake Forest University
0.000158369843007404,colleges and universities,Williams College
5.581119950598857e-05,colleges and universities,Lewis and Clark College
4.925048598825957e-05,colleges and universities,Orange Coast College
7.686322592940026e-05,colleges and universities,University of Missouri
2.4878405039202686e-05,elections,Emory University
-1.835798985910477e-05,elections,University of Hawaii Manoa
9.76517030183919e-06,elections,Suffolk University
0.00020703071405452192,elections,University of Utah
-8.33156858430372e-05,elections,Pennsylvania State University
-2.7563152631391514e-05,elections,University of Notre Dame
-4.139254782526652e-05,elections,University of California Santa Cruz
-2.1786202042035027e-05,elections,East Carolina University
6.484855201809464e-06,elections,"University of Nebraska, Lincoln"
-1.0197148437367455e-05,elections,University of North Florida
-2.901001805852107e-05,elections,Georgetown University
7.156155144210539e-05,elections,San Francisco State University
